Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Noah_Averesh  17 ger 15  1  2  2 19 465 393 393 717  11   0 1045   0  81  26   0   0   0   0   0   0   0   0 100
A_Pears       27 eng 14  1  1  1 20 696 798 318 318   4   0  378   0  20  12   0   0   0   0   0   2   0   0 100
Romeo_Ritter  18 ger  1 15  5  1 34 230 259 629 895  11   0 1045   0   0   0  14  10   0   0   0   4   0   0  55
Scott_Wharton 28 eng  1 14  5  1 34 315 963 836 490   6   0  569   0   0   0   8   1   0   0   0   2   0   0  93
T_Della_Mora  19 ita  1 14  5  5 19 440 107 696 586  11   0 1045   0   0   0  14   4   8   0   0   0   0   0  55
D_Thompson    17 eng  1 14  5  3 34 110  26  26 884   6   0  570   0   0   0   4   3   1   0   0   0   0   0  93
L_Zvonarek    19 cro  1 13  7  4 29 615 883 144 143   9   0  784   0   0   0   7   8   8   0   0  10   0   0  79
Lewis_Miller  25 nze  1 13  4  3 20 268  19 818 418   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Nwaneri     19 eng  1  3 16  6 23 246 569 119 371  10   0  950   0   0   0   1  18   5   0   1   4   0   0  61
Olli_Harrison 19 eng  1  6 15  2 36 253 672 150 909  11   0 1042   0   0   0   2  20   2   0   0   4   0   0  68
Josh_Robson   18 eng  1  9 14  6 23 620 537 677 330  11   0 1045   0   0   0   5   9   4   0   0   0   0   0  55
T_M-Idowu     19 eng  1  5 14  7 22 495 108 372 274  10   0  952   0   0   0   3  19   6   0   1   2   0   0  64
K_Montgomery  21 sco  1  3 14  3 32 126 678 105 880   5   0  475   0   0   0   0  16   0   0   0   0   0   0 100
S_Tronstad    30 nor  1  4 13  4 34  90 581 919 776   5   2  374   0   0   0   1   8   0   0   0   0   0   0  93
Maher_Carrizo 19 arg  1  4  5 16 28 416 371 654 163  11   2  918   0   0   0   0   5  39   0   0   0   0   0  78
D_Ngambia     17 bel  1  3  5 14 32 278 794 472 200   4   0  379   1   0   0   3   3  15   0   0   0   0   0 100
S_Van_Persie  19 hol  1  3  6 14 28 220 752 262 140  11   0 1045   0   0   0   1   4  24   3   0   2   0   0  55
J_Zinhagel    17 hol  1  1  5 12 20 296 688 255  13   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
