Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Hugo_Lloris   38 fra 19  1  1  1 23 397 360 420 860  10   0  894   1  61  16   0   0   0   0   0   0   0   0 100
W_Rutter      19 eng 17  1  1  1 20 127 730 730 728   1   1   54   0   1   3   0   0   0   0   0   0   0   0 100
Murillo       24 bra  1 16  7  2 38 477 567 513 386  10   0  948   0   0   0  10   5   3   0   0   2   0   0  56
Axel_Disasi   28 fra  1 15  7  1 38 457 226 502 916  10   0  948   1   0   0  17   5   0   0   0   4   0   0  56
G_Magalhaes   30 BRA  1 15  6  2 36 323 507 184  92   8   0  695   0   0   0  11   5   4   0   0  20   0   2  66
Givairo_Read  21 hol  1 14  5  5 21 341 230 858 588   4   0  380   0   0   0   6   0   0   0   0   0   0   0  85
David_Zima    26 cze  2 14  5  5 34 337 388 911 692   8   0  749   1   0   0  11   1   4   0   0  10   0   0 100
Alan_Patrick  35 bra  2  5 18  6 28 107 452  19 627   5   0  474   0   0   0   2   4   0   0   1   2   0   0 100
Pascal_Grob   36 ger  1  5 17  6 27 686 311  62 561   1   0   95   0   0   0   0   0   0   0   0   0   0   0 100
H_Calhanoglu  33 tur  2  6 16  4 33 125 651 795 292  10   0  948   0   0   0   4  16   3   0   0   4   0   0  56
Pape_M_Sarr   24 sen  1  4 16  6 34 514 701  90 582  10   0  948   0   0   0   3   5   8   1   1   4   0   0  56
A_Rabiot      32 fra  2  2 16  6 32 158 837  36 250   5   0  474   0   0   0   1   7   7   1   0   2   0   0  69
Rodri         30 spa  1  5 16  4 36 643 404 104 415   5   0  474   0   0   0   1  14   2   0   1   2   0   0  69
F_Gioielli    22 ita  1  6 13  3 36 744 133 828 505   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kayden_Wolf   21 HOL  1  3  6 19 21 564 183 278  72   8   0  756   0   0   0   4   3  18   0   0   2   0   0  59
Desire_Doue   21 fra  1  2  6 18 18 400 166 697 818   7   0  666   0   0   0   0   2  16   3   0   0   0   0  69
Ruben_Vargas  26 sui  1  4  6 16 31 145 350 840 929   4   0  379   0   0   0   0   7   8   0   0   0   0   0 100
N_Cardoso     22 por  1  3  6 14 24 897 473 394 261   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
