Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
D_Henderson   29 eng 20  1  1  1 20 557 798 318 318  11   0 1051   0  83  31   0   0   0   0   0   0   0   0 100
W_Benitez     33 arg 14  1  1  1 18  13 308 308 308   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Lacroix     26 fra  1 16  6  1 34 315 309 239 989  11   0 1051   0   0   0  20   4   3   1   0   0   0   0  55
T_Mitchell    27 eng  1 15  6  2 32 315 176 107 599  11   0 1051   0   0   0  17   8   3   0   3   8   0   0  55
Daniel_Munoz  30 col  1 15  7  3 34 315 537   7 554  11   0 1051   0   0   0  14   9   3   0   0   6   0   0  55
C_Richards    26 USA  1 15  6  2 30 315 125 267 455  11   0 1051   0   0   0  17   5   1   0   1   0   0   0  55
Borna_Sosa    28 cro  1 14  7  5 28 315 378 818 498   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Chadi_Riad    22 mor  1 13  5  1 26 268  19 818 418   2   2   42   0   0   0   0   0   0   0   0   0   0   0 100
N_Clyne       35 eng  1 12  4  2 24 218 268 388 218   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Daichi_Kamada 30 jap  1  4 15  6 26 315 803  62 543   5   0  451   1   0   0   0  10   4   2   0  10   0   0 100
M_Jensen      30 DEN  1  5 15  4 36 300 564 774 206  11   0 1009   0   0   0   2  17   6   0   3   2   0   0  57
Kurt_Ruger    21 ger  1  5 14  6 26 432 105 426 577   9   0  677   0   0   0   1  16   8   0   1   0   0   0 100
G_D_Rovere    20 ita  1  2 14  6 20 775 774 748 299  11   0 1015   0   0   0   0  23   5   0   1   0   0   0  56
J_Devenny     22 nir  1  5 13  3 20 238 837 382 312   9   3  660   0   0   0   1  13   0   0   0   4   0   0  64
Hugo_Ekitike  25 fra  1  3  6 20 28 237 963  82 416  11   2  746   2   0   0   1   3  32   5   0   2   0   0 100
Jean_Mateta   29 fra  1  3  4 17 24 315 538 664  82  11   7  541   1   0   0   0   3  26   3   0   0   0   0 100
Eddie_Nketiah 27 eng  1  2  5 17 22 315 588 681  10   3   0  233   0   0   0   0   3   9   0   0   0   0   0 100
Ismaila_Sarr  28 sen  1  3  6 16 28 315 618 768  69   8   0  770   0   0   0   0   5  10   0   0   0   0   0  59
C_Uche        23 nig  1  2  6 13 20 218 515 715 906   6   6  139   0   0   0   0   1   1   0   0   2   0   0 100
