Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Kaua_Santos   22 bra 14  2  2  1 20 962 351 343 411   8   0  761   0  37  29   0   0   0   0   0   2   0   0 100
M_Zetterer    30 ger 14  1  1  1 20 116 452 331 385   3   0  288   0  14   1   0   0   0   0   0   0   0   0 100
Amil_Siljevic 18 bos 12  1  1  1 20 681 255 555 476   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
W_Anton       29 ger  1 16  5  1 36 234 869 258 611   3   1  203   0   0   0   4   1   0   0   1   0   0   0 100
S_Nsoki       26 fra  1 16  5  1 34 110 890 880 230   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Brown       22 ger  1 15  5  5 38 325 282 394 680  10   1  826   0   0   0  19   3   3   0   1  14   0   0  86
N_Collins     21 ger  1 15  4  1 38 307 859 484 517   9   1  763   0   0   0  10   2   4   1   0   4   0   0  91
Aurelio_Buta  28 por  1 13  4  4 20  98 315 927 916   5   1  423   0   0   0   7   1   2   0   0   0   0   0 100
T_Chandler    35 usa  1 13  5  4 21 225 594 113 141   2   1   86   0   0   0   1   1   1   0   0   0   0   0 100
Felix_Nmecha  25 ger  1  4 18  6 26 349 195 211 388   3   0  243   0   0   0   1   4   0   0   0   0   0   0  94
Phil_Foden    28 eng  1  3 17  8 26 110 450 357 230   8   0  725   0   0   0   0  15  13   1   2   2   0   0  91
Julian_Brandt 29 ger  1  3 16  5 20 263 547 690 525   3   2  191   0   0   0   0   8   1   0   1   0   0   0 100
Laszlo_Benes  28 slo  1  4 16  5 28 110 440 930 820   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Dahoud      29 ger  1  4 14  4 36 385 962 713 245  11   0  889   0   0   0   4  22   4   0   2   0   0   0  76
P_Aubameyang  37 fra  1  3  7 18 32 110 218 551 830   8   0  672   0   0   0   2   3  31   2   0   4   0   0  83
S_Guirassy    29 gui  1  3  5 18 20 326 332 775  71   3   0  244   1   0   0   1   2  10   1   1   0   0   0  93
Max_Beier     23 ger  1  3  5 18 26 750 894 997  12   4   2  266   0   0   0   0   0  14   3   0   2   0   0 100
Y_Moukoko     21 ger  1  4  4 14 28 611  74 762 942   5   1  407   0   0   0   2   2  15   1   0   0   0   0 100
Ansgar_Knauff 23 ger  1  2  5 14 21 116 948  64 530   8   4  429   0   0   0   0   3  15   1   0   0   0   0 100
J_Ngankam     25 ger  1  1  4 13 22 294 744 131 833   2   1  126   0   0   0   0   0   4   0   0   0   0   0 100
