Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Elia_Caprile  23 ita 23  2  2  2 18 983 251 251 251  20   0 1907   0 110  16   0   0   0   0   0   2   0   0 100
J_Virginia    27 por 12  2  2  2 32 942 373 801 311   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joao_Victor   19 BRA  1 17  7  2 36 570 245 177 433  17   0 1623   0   0   0  19  11  11   1   2   4   0   0 100
Marcus_Rojo   36 arg  1 16  7  7 30 483 585 725 684  20   3 1559   0   0   0  18   8  14   1   1   8   0   0 100
Ayrton_Lucas  29 bra  1 16  6  7 20 460 292 857 356   9   0  767   1   0   0   5   1  17   4   0   0   0   0 100
B_M_Indi      35 hol  2 16  8  2 36 423 513 610 524  20   0 1907   0   0   0  19  15  10   1   1   8   0   0 100
K_Sardella    25 bel  2 16  6  6 22 712 384 671 342  14   0 1299   1   0   0  26   3  12   2   0   4   0   0 100
Bremer        30 bra  1 14  6  3 36 845 415 882 351  12   9  473   0   0   0   7   5   3   0   0   0   0   0 100
Adam_Devine   24 sco  2 13  5  5 22 225 215 887  12   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Amadou_Onana  25 sen  2  8 23  5 33  96 791 204 629  19   0 1813   3   0   0   8  55  10   3  10  10   0   0 100
B_Fernandes   32 por  2  4 20  9 32  26 756 223 459   3   0  286   0   0   0   1   5   6   0   0   0   0   0 100
S_Busquets    38 spa  1  8 19  3 36 580 481 655 787  11   0 1049   0   0   0   6  31   5   0   1   6   0   0 100
Matias_Rojas  30 par  1  3 19  8 21 570  40 192 290   9   9  298   0   0   0   0   7  14   1   0   0   0   0 100
Y_Verschaeren 26 BEL  1  3 18  8 23 976 864 330 904  19   0 1745   0   0   0   3  54  25   2   6   0   0   0 100
L_Evangelista 31 bra  1  7 18  7 32 615 515 242  38  17   0 1391   1   0   0   3  33  21   2   5   4   0   0 100
Evertton      23 bra  1  7 16  4 34 450 127 591 590   8   0  762   1   0   0   5  29   5   0   3   2   0   0 100
Ayman_Aounir  22 mor  2  3 15  6 21 417 699 940 394   9   9  208   0   0   0   0   1   5   0   0   0   0   0 100
E_Cavani      39 arg  1  4  8 20 32 593 863 504 217  20   0 1907   6   0   0   5   6 111  17   0   0   0   0 100
Juninho       29 bra  1  4  7 19 32 472 963 835 122  18   0 1535   1   0   0   4  11  75   7   0   4   0   0 100
Jan_Faberski  21 pol  1  3  6 18 24 916 111 135 743  10   0  896   0   0   0   1   5  37   4   0   4   0   0 100
K_Abdallah    20 fra  1  3  5 15 21 116 144 438 216   2   0  165   0   0   0   0   2   4   0   0   4   0   0 100
