Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Y_Sommer      38 swi 34  2  2  2 34 895 382 224 367  18   0 1694   0 150   2   0   0   0   0   0   0   0   0 100
E_Audero      30 ita 12  2  2  2 28 601 483 212 341   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Bastoni     28 ITA  2 18 10  5 34 291 420 274 240  12   0 1127   1   0   0  27  13   4   1   0   0   0   0 100
M_Ruggeri     24 ita  1 18  7  1 18 711 591 427 849   8   0  753   0   0   0  14   7   3   0   0   0   0   0 100
B_Pavard      31 fra  2 17  9  8 28 202 205 791 415  11   0 1033   1   0   0  12   8  13   3   0   4   0   0 100
Yan_Bisseck   26 ger  2 15  6  4 32 244 305 965 371   4   1  316   0   0   0   5   3   4   1   0   2   0   0 100
F_Dimarco     29 ita  2 15  8  6 29 189 201 777 544  11   0 1035   2   0   0  16   7   9   2   1   4   0   0 100
G_Smal        29 hol  1 13  6  6 22 656 646 428  59   6   0  567   0   0   0   4   2   6   0   0   2   0   0 100
D_M_Wolfe     25 nor  2 13  6  5 40  40 628 476 758   3   0  283   0   0   0   4   4   3   1   0   2   0   0 100
C_D_Ketelaere 25 bel  1  3 23  7 24 765 409  79 559  17   0 1600   1   0   0   2  50  17   1   3   6   0   0 100
D_Dumfries    30 HOL  2  6 23 10 22 230 675  46 118  18   0 1113   1   0   0   2  40  18   5   6   2   0   0 100
D_Frattesi    27 ita  2  4 22  9 26 266  91  77  91  13   0 1226   1   0   0   2  34  17   2   7   2   0   0 100
F_Anguissa    31 sen  1  4 19  6 24 690 471 300 918  18  17  643   0   0   0   2  20   4   0   3   0   0   0 100
Joao_Pedro    21 por  1 12 17  6 25 765  54 765 831  17   0 1600   0   0   0  15  39   9   1   1   0   0   0 100
Jamie_Gittens 23 eng  1  3 17  5 24 850 852 553 946  12   6  753   1   0   0   1  30   7   1   6   6   0   0 100
Kolo_Muani    28 fra  1  3  6 24 29 854 930 983   6  17   0 1440   5   0   0   2   6 101  15   0  10   0   0 100
Xavi_Simons   24 hol  2  4  6 23 26  94  97 982 577  17   0 1600   2   0   0   3   8  82   8   1   4   0   0 100
Kusini_Yengi  28 aus  1  3  7 20 20 921 599 552 245  18   3 1217   3   0   0   0   2  57   9   0   4   0   0 100
G_Vedovati    21 ita  1  3  6 15 24 716 863 280 347  13   8  602   0   0   0   0   2  16   3   0   2   0   0 100
