Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
I_Meslier     25 fra 21  1  1  1 20 671 805 305 305  12   0 1169   1 112  18   0   0   0   0   0   0   0   0 100
K_Darlow      34 eng 14  1  1  1 18 873 305 305 305   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Ayling      34 eng  1 15  6  6 32 305 321 926 747  12   0 1169   0   0   0  13   4   8   0   0   4   0   0  54
J_Anthony     25 ENG  1 15  4  5 28 305 196 208 430  11   4  825   0   0   0  15   3   7   0   0   4   0   0  59
S_Byram       31 ENG  1 15  4  4 30 310 241 880 474   8   6  388   0   0   0   8   2   2   0   0   0   0   0 100
J_Rodon       27 wal  1 14  6  6 32 419 706 348 102   1   0   93   0   0   0   1   0   0   0   0   0   0   0 100
J_Firpo       29 dom  1 14  7  4 30 305 394 650 448  11   1 1005   1   0   0  15  12   3   0   1   2   0   0  65
C_Cresswell   23 eng  1 14  5  5 28 305 311 792 430  10   0  628   0   0   0   4   3   1   0   0   0   0   0 100
G_Kamara      30 fin  1  7 16  4 29 310  18 203 600  12   0 1169   0   0   0   2  19   3   0   0   2   0   0  54
C_Summerville 23 ned  1  4 16  6 27 305 539 288 398  11   0  841   0   0   0   0  11   2   0   0   0   0   0  94
Ismael_Kone   25 ivo  1  4 15  5 28 394 583 383 976  12   0 1126   0   0   0   3  21   3   0   0   0   0   0  60
Daniel_James  28 wal  1  2 14  7 20 305 802 864 500  12   0 1121   0   0   0   1  17  14   0   0   2   0   0  55
Kees_Smit     20 hol  1  3 14  5 28 110 787 765 262   7   6  256   0   0   0   1   7   4   1   0   0   0   0  94
B_Johnson     25 wal  1  1  4 16 20 343 870 946 279  10   0  863   0   0   0   1   2  31   1   0   2   0   0  88
P_Bamford     31 eng  1  3  5 14 32 305 980 672 648   8   0  792   0   0   0   3   6  17   0   0   2   0   0  65
G_Rutter      23 fra  1  2  6 13 29 228 731 162 858   9   1  705   0   0   0   1   2  11   0   0   2   0   0 100
M_Joseph      22 esp  1  3  4 13 25 228 872 697 513   4   4  186   0   0   0   0   1   3   0   0   0   0   0 100
