Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Vicario     30 ita 20  3  2  1 22 847 431 942 882  11   0 1035   0  62  11   0   0   0   0   0   0   0   0 100
Alisson       34 bra 14  1  1  1 20 721 326 326 326   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Kelleher    28 ire 12  1  1  1 18 479 326 326 326   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Jaros       25 cze 12  1  1  1 18 182 326 326 326   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_van_Dijk    35 hol  1 16  7  2 36 551 683 866 401  11   0 1035   1   0   0  16   8   6   1   2   2   0   0 100
T_Alex-Arnold 28 eng  1 17  8  5 18 401  53 645 945  11   0 1035   0   0   0  20  11   3   0   0   0   0   0 100
Jere_Uronen   30 fin  1 16  6  5 29 780 714 780 281  11   0 1035   0   0   0  21  12   4   0   0   0   0   0 100
Miro_Tenho    29 fin  1 16  5  3 28 840 745 690 199  11   0 1035   0   0   0  20   7   2   0   1   0   0   0 100
Joe_Gomez     29 eng  1 14  6  3 38 701 843 958 101   1   0   96   0   0   0   0   0   2   0   0   0   0   0 100
I_Konate      27 fra  1 14  5  1 40 476 954 352 965   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Tsimikas    30 gre  1 13  5  5 20 326 834 727 638   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Conor_Bradley 23 nir  1 13  5  4 18 326 352 728 502   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Arana       30 bra  1 13  5  5 21 425 203 902  74   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_MacAllister 28 ARG  1  5 22  8 26 326 507 315  83   9   0  831   1   0   0   4  27  13   0   2  12   0   0 100
D_Szoboszlai  26 hun  1  4 20  6 24 476 724 328 907  11   0 1035   0   0   0   1  28   9   0   3   2   0   0 100
A_Milambo     22 hol  1  5 17  5 27 781 509 684 527  11   1  982   1   0   0   2  24  13   3   2   4   0   0 100
Harvey_Elliot 23 eng  1  4 16  6 26 558 411 236  83   8   4  445   0   0   0   0   5   4   0   0   4   0   0 100
Curtis_Jones  25 eng  1  3 16  5 23 326 913 363 571   9   0  736   0   0   0   1  21  10   0   0   0   0   0 100
Orcun_Kokcu   26 tur  1  4 15  4 25 322 687  56 927   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Wataru_Endu   33 jpa  1  4 12  3 36 258 409 408 317   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tyler_Morton  24 eng  1  5 12  2 38 347 141 150 556   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luis_Diaz     30 col  1  2  5 21 21 326 819 652 845  11   0 1035   7   0   0   2   0  87  11   0   0   0   0 100
Denis_Undav   25 ger  1  2  5 19 33 654 429 929 216   8   0  565   0   0   0   0   1  21   1   1   0   0   0 100
E_Zhegrova    27 KOS  1  2  6 18 18 608 144 253 948  10   7  469   0   0   0   0   4  18   2   0   0   0   0 100
C_Ronaldo     42 por  1  3  7 15 24 332 404 350 753   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
O_Dembele     30 fra  1  3  6 14 28 480 459  87 953   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Barcola     24 fra  1  3  5 13 30 908 202 777 908   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
