Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Donnarumma  28 ita 30  2  2  1 32 719 100 753 812  14   0 1357   2 172  11   0   0   0   0   0   0   0   0 100
Merzouk       19 fra 12  1  1  1 20  49 173 238 163   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mauro_Junior  27 bra  1 17  4  6 20 335 124 877 215  14   0  873   0   0   0  14   3  12   0   0   0   0   0 100
Felipe_Jack   21 bra  1 16  8  3 36 268 498 355 305  14   0 1317   1   0   0  15  15   9   0   0  18   0   0 100
D_Caleta-Car  29 hol  1 16  7  1 36 803 616 108 657  14   0 1357   0   0   0  18   9   0   0   0   8   0   0 100
Matheus_Reis  32 bra  1 14  6  7 24 376 420 480 300   1   1   21   0   0   0   0   0   0   0   0   0   0   0 100
B_Zaragoza    24 spa  1 14  5  1 33 739 127 803 882  14  14  484   0   0   0   9   5   2   0   0   2   0   0 100
G_Gudmundsson 27 swe  1 13  6  6 18 273 324 623  90   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Fabian_Rieder 22 SWI  2  7 20  9 34 705 495 153 338  13   0 1251   0   0   0   2  32  17   0   1  12   0   0 100
A_Bouaddi     19 fra  1  5 20  7 26 273 819 118 779  14   0 1357   0   0   0   4  32  26   2   5   2   0   0 100
Mason_Mount   28 eng  1  3 19  8 27 584 122 276 292  14   0 1357   0   0   0   0  32  19   2   2   4   0   0 100
A_Ibragimov   19 RUS  1  2 18  8 21 563 768 678  76  14   0 1357   1   0   0   2  30  30   2   5   2   0   0 100
T_Reijnders   28 hol  1  4 16  5 22 376 254 389 615  14   0 1171   0   0   0   2  24  13   0   2   0   0   0 100
Toni_Kroos    37 ger  1  4 13  4 37 462 890 519 804   1   0   94   0   0   0   0   4   1   0   1   0   0   0 100
K_Kvara'helia 25 geo  1  1  8 20 22 191 499 582 253  14   0 1357   2   0   0   1  26  57   6   0   4   0   0 100
Geovanni      20 bra  1  4  7 17 28 642 443 213 229  14   0 1357   2   0   0   1   7  87  13   0   2   0   0 100
Alvaro_Morata 34 spa  1  3  4 14 26 615 818 698 436   6   6  165   0   0   0   0   0   8   0   0   0   0   0 100
