Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Andre_Gomes   22 por 27  2  3  2 32  34 723 902 361  11   0 1063   0  61  12   0   0   0   0   0   2   0   0 100
L_Chevalier   25 fra 19  1  1  1 20 449 474 474 474   1   0   97   0   8   2   0   0   0   0   0   0   0   0 100
S_Westerveld  24 hol 14  2  3  2 20 234 859 507 302   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Bayindir    29 tur 12  3  3  2 40 508 121 934 315   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Malo_Gusto    23 FRA  2 19  9 10 21 410 727 126 771  12   0 1160   0   0   0  21   6  14   2   0   2   0   0 100
R_J_Garcia    25 arg  1 17  7  8 20 658 581  15 173  10   0  863   0   0   0  10   3  12   2   0   4   0   0 100
Lenny_Yoro    21 fra  2 17 12  4 38 865 443  33 751  11   0 1063   0   0   0  11  12   3   1   1   2   0   0 100
Angelo        21 bra  2 17  6  8 18 692 272 632 891  10   0  936   0   0   0  10   5  11   0   1   0   0   0 100
Jack_Kingdon  21 sco  2 15  7  3 38  44 352 891 203   3   1  296   0   0   0   1   3   1   0   0   0   0   0 100
Samuel_Dahl   21 swe  1 14  6  4 26 780 484 579 164   5   3  381   0   0   0   5   2   1   0   1   4   0   0 100
Joao_Neves    22 POR  2  8 27  7 24 564 840 787  70  10   0  870   2   0   0   5  38   8   0   4  10   0   0 100
Kobbie_Mainoo 22 eng  2  6 24  7 25 468 557 674 969  11   1  997   1   0   0   4  39  11   1   6   2   0   0 100
Jo_Bellingham 21 eng  2  6 24  8 32 533 170 390 666  11   0 1063   1   0   0   2  37  11   1   3   2   0   0 100
Rodrigo_Mora  19 por  2  5 20  9 18 927 631 468 895   4   0  347   0   0   0   1  10   4   0   2   0   0   0 100
K_Akturkoglu  28 tur  1  1 18  7 20 586 821 890 747   5   5  266   0   0   0   1   5   6   0   1   0   0   0 100
IIaix_Moriba  20 sen  2  5 17  6 38 241 263 740 626   4   3  256   0   0   0   0   6   1   0   0   0   0   0 100
Bukayo_Saka   25 eng  2  5  9 23 21 591 539 687 580  11   0  839   1   0   0   0   3  42   6   0   4   0   0 100
J_David       27 can  1  3  5 22 20 397 957 891  43  12   2  794   1   0   0   2   2  44   4   0   0   0   0 100
A_Isak        27 swe  1  2  7 21 38 912 814 448 133  11   1  795   1   0   0   0   5  47   8   0   2   0   0 100
Jhon_Duran    22 col  1  3  5 20 26 621 491 671 381   7   3  379   0   0   0   1   2  20   1   0   0   0   0 100
