Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Senne_Lammens 24 bel 16  1  1  1 20 734 128 128 128  12   0 1137   0  71  20   0   0   0   0   0   0   0   0 100
Agustin_Rossi 31 arg 16  1  1  1 21  48 138 248 138   1   0   94   0   7   5   0   0   0   0   0   0   0   0 100
Vanderson     25 bra  1 16  9  7 27 664 501 357 886  13   0 1231   0   0   0  19  17   2   0   1   4   0   0  58
L_Brassier    27 fra  1 14  6  1 36 345 793 701 452  13   0 1231   1   0   0  19  10   0   0   0   8   0   0  58
C_Mbemba      32 con  1 13  5  1 41 332 640 783 990  13   0 1231   0   0   0  10   6   1   0   0   8   0   0  58
U_Garcia      30 swi  1 13  4  4 16 384 437 475 997  11   0 1043   0   0   0  10   3   3   0   0   0   0   0 100
D_Zakaria     30 swi  1  6 19  4 39 856 204 798  97  13   0 1188   0   0   0   2  38   2   0   3   0   0   0  65
Rueben_Neves  30 por  1  6 17  3 34 485 580 161 593   6   0  571   0   0   0   5  16   3   0   0   2   0   0 100
G_Kondogbia   33 caf  1  5 16  3 36 409 801 185 125  13   0  849   0   0   0   2  17   4   0   0   2   0   0  88
M_Kovacic     33 cro  1  5 16  5 33 530 202  16 991   3   2  137   0   0   0   1   5   1   0   0   0   0   0 100
H_Mkhitaryan  38 arm  1  3 15  6 37 798  23 481 216  11   9  484   0   0   0   0   9   2   0   0   2   0   0 100
Andy_Diouf    23 fra  1  4 15  6 26 231 875  87 118   3   0  284   0   0   0   1  10   3   0   0   0   0   0  88
Gorby         23 fra  1  4 14  3 23 341 839 606 644   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Bakola      19 fra  1  2 14  5 20 565 567 110 429  11   9  437   0   0   0   0   6   3   0   0   2   0   0  88
Gael_Lafont   20 fra  1  4 13  5 28 339 177 598 777   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marc_Guiu     20 spa  1  4  6 18 18 588 351 604 764  13   0 1231   0   0   0   0   3  41   4   0   0   0   0  58
Rafael_Borre  30 col  1  3  6 17 30 128 340 878 254  13   2 1086   0   0   0   1   5  25   4   0  10   0   0  84
F_Trincao     27 por  1  2  6 14 21 252 946 355 630  13   2 1086   1   0   0   0   9  26   1   0   0   0   0  84
Ivan_Perisic  37 cro  1  1  5 14 24 425 537  27 141  11   0  792   0   0   0   0   4  20   1   0   2   0   0  88
