Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
M_Kikkenborg  27 den 26  1  1  1 22 365 321 907 772  14   0 1342   1 159  28   0   0   0   0   0   0   0   0 100
Sergio_Rochet 32 uru 22  1  1  1 18 780 100 100 100   1   0   98   0  10   3   0   0   0   0   0   0   0   0 100
Carlos_Miguel 28 bra 12  1  1  1 18 823 375 450 375   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Augustin_Giay 22 bra  1 19  6  5 21 190 511 500 500   1   0   98   0   0   0   1   0   0   0   0   0   0   0  91
Luan_Candido  25 bra  1 17  6  5 20 100 826 820 819   1   0   98   0   0   0   2   1   1   0   0   0   0   0  91
Kim_Min-Jae   30 kor  1 17  6  3 35 523 200 645 534  14   0 1342   0   0   0  12   4   9   0   0   6   0   0  69
T_Beelen      25 hol  1 17  6  2 40 766 489 606 654  14   0 1342   1   0   0  23   8   3   0   0   6   0   0  69
G_Pereira     25 bra  1 15  5  1 38 410 580 966 189   3   0  292   0   0   0   6   3   0   0   1   0   0   0  78
Ola_Aina      30 nig  1 12  5  5 18 375 885 628 825   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pedri         24 spa  2  6 21 10 24 513 948 875 228  12   0 1152   0   0   0   2  21  20   1   1   4   0   0  54
Manuel_Ugarte 26 uru  1  6 18  4 37 672  12 277  32  13   0 1251   0   0   0   3  30   5   0   2   2   0   0  53
F_De_Jong     29 hol  1  5 17  7 28 930 981 386 460   9   0  849   1   0   0   1  18   9   1   0  12   0   0 100
E_Fernandez   25 ARG  1  4 17  6 26 414  40  17 212   2   0  191   0   0   0   2   4   2   0   0   0   0   0 100
B_Guimaraes   29 bra  1  5 16  5 34 442 501 412 504   4   0  341   0   0   0   1   7   6   0   1   2   0   0  86
Yan_Couto     23 bra  1  1 16  4 20 454 842 990 705   3   1  234   0   0   0   0   9   1   1   0   0   0   0  84
Santi_Antino  20 arg  1  2 16  4 18 360 488  40 650   3   0  289   0   0   0   1   6   3   0   0   0   0   0  79
L_Scipioni    21 arg  1  4 14  4 20 541 126 427  94   3   3  131   0   0   0   0   1   0   0   0   0   0   0 100
V_Gyokeres    29 swe  1  3  5 20 29 553 442 918 538   9   0  825   2   0   0   2   1  39   7   0   4   0   0 100
S_Castro      21 arg  1  3  5 18 26 330 538 619  13   3   0  207   1   0   0   0   1  10   2   0   0   0   0 100
F_Pellistri   24 uru  1  1  4 15 21 320 480 410 977   3   1  196   0   0   0   0   0   3   0   0   0   0   0 100
Rwan_Cruz     24 bra  1  3  4 15 26 330 565 598 966   3   2  105   1   0   0   1   0   4   1   0   0   0   0 100
Joel_Ndala    19 eng  1  1  5 14 20 229 755 390 273   4   0  378   1   0   0   0   0  14   2   0   0   0   0 100
Andre_Luiz    23 bra  1  1  4 14 20 112 517 847 816   2   2   48   0   0   0   0   0   0   0   0   0   0   0 100
