Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
T_Kuijsten    22 hol 27  2  2  1 24 973  66 816 840  16   2 1354   0 101   5   0   0   0   0   0   0   0   0 100
Oscar_Glover  21 eng 14  1  2  1 21 657 641   9 730  13  11  328   0   7   4   0   1   0   0   0   0   0   0 100
Andres_Cuenca 19 spa  1 16  8  3 38 742 382 844 530   5   0  474   0   0   0   3   4   1   0   1   0   0   0 100
Michael_Ani   20 eng  1 16  8  3 38 755 200 205 924   8   0  733   0   0   0  18   9   7   0   1   2   0   0 100
Ciaran_Martin 20 ENG  1 16  8  3 40 830 151 314 938  10   0  949   1   0   0  11   8   6   1   2   0   0   0 100
C_Ogilvie     31 eng  1 15  8  7 32 943 851 720 899  10   0  955   1   0   0  11   3  13   1   0   2   0   0 100
J_Quansah     24 eng  1 15  7  2 34 740 321 898 923   5   0  416   0   0   0   8   4   0   0   1   2   0   0 100
L_Gardenier   20 hol  1 15  8  6 20 911  82  14 874  10   0  879   1   0   0  11   7   7   0   2   2   0   0 100
Tom_McIntyre  28 sco  1 13  7  2 36 899 478  91 948   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Declan_Rice   29 eng  1  8 21  5 32 497 824 268  94  14   0 1330   1   0   0  10  44   6   0  10   2   0   0 100
Harry_Clout   21 eng  1  5 19  7 21 850 998 696 947  14   0 1266   1   0   0   4  46  15   1   7   4   0   0 100
Savinho       22 bra  1  3 18  6 20 772 549 236 966   3   0  280   1   0   0   0   9   4   1   1   0   0   0 100
Joao_Vitor    21 bra  1  5 18  6 20 855 324  57 722   8   0  728   1   0   0   2  19  10   3   1   2   0   0 100
Terry_Devlin  23 nir  1  6 17  5 22 637 248 371 597   8   1  691   0   0   0   3   8   6   1   1   2   0   0 100
W_Z_Emery     21 fra  1  5 17  7 31 986 846 188  31  12   0 1112   0   0   0   4  23  10   2   1   4   0   0 100
A_Segecic     22 aus  1  2 17  7 21 180 384 237 602   3   1  157   0   0   0   0   2   1   0   0  10   0   0 100
Jevon_Simons  22 hol  1  5 16  7 24 921 316 459 735   5   3  332   0   0   0   1   5   6   1   1   2   0   0 100
M_Kosznovsky  24 hun  1  4 16  4 28 170 928 100 987   2   0  187   0   0   0   0   5   0   0   0   0   0   0 100
A_Schiavio    20 ita  1  4 15  7 24 917 580 567 605   2   1  118   0   0   0   0   5   1   0   0   0   0   0 100
Colby_Bishop  30 eng  1  3  8 24 26 790 460 557 655  16   0 1522   4   0   0   2   6 102  17   0   4   0   0 100
Conor_Chaplin 29 eng  1  3  6 18 22 170 695 796 309  15   0 1349   2   0   0   2   7  67  13   0   0   0   0 100
Joao          21 BRA  1  2  6 15 36 798 581 742 802  16   0 1522   0   0   0   3  12  58   5   0   8   0   0 100
