Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
P_Kohn        29 ger 31  2  2  1 32 692  67 523 901  19   0 1801   2 178   9   0   0   0   0   0   4   0   0 100
S_Rico        33 spa 11  2  2  1 40 802 715 628 909   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Kimpembe    31 fra  1 16  8  4 39 973 542 263 201  12   1 1050   0   0   0   9  12   8   0   2  10   0   0 100
M_Skriniar    32 slv  1 15  7  3 34 804 660  74 914  14   3  978   0   0   0  14   9   4   0   1  14   0   0 100
T_Adarabioyo  29 eng  1 15  7  1 40 632 184 150 793  10   0  790   0   0   0   8   6   0   0   0   2   0   0 100
Marquinhos    33 bra  1 14  7  3 37 875 923 154 922   9   0  834   0   0   0  10  11   6   0   2  12   0   0 100
J_Araujo      25 per  1 14  6  6 23 947 119 246 452  13   0 1235   0   0   0  10   9   7   0   0   2   0   0 100
L_Hernandez   31 fra  1 13  6  3 33 954 160 576 274  11   0  978   0   0   0   9   8   5   0   0  14   0   0 100
N_Mukiele     29 fra  1 13  6  6 26 903  18 334 268  13   9  573   0   0   0   5   4   7   1   0   0   0   0 100
Sekou_Kone    21 sen  1  8 22  5 36 922  62 300 134  10   0  739   0   0   0   8  20   3   2   1   2   0   0 100
E_Camavinga   24 fra  1  5 21  8 21 933 171 608  55  19   1 1562   1   0   0   6  42  28   3   4   2   1   0 100
Sandro_Tonali 27 ita  1  7 19  6 30 674 124 705 405  19   3 1419   1   0   0   7  37   8   0   6   2   0   0 100
Vitinha       27 por  1  6 19  8 33 825 884 262 855  19   0 1801   0   0   0   7  40  30   2   7   8   0   0 100
Rayan_Cherki  24 alg  1  4 16  9 21 950  27 339  54  16   5 1101   0   0   0   2  27  23   4   2   0   0   0 100
C_Casadei     22 ita  1  6 15  6 26 575 243 550 233  19  10 1087   0   0   0   4  29  12   1   2   4   0   0 100
R_Sanches     29 por  1  5 14  3 25 837 562 296 526   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Ramos       25 por  1  4  7 24 33 943  86 396 523  19   0 1761   8   0   0   7  12 126  19   1   6   0   0 100
German_Valera 24 spa  1  2  8 19 19 493  16  12 980  19   0 1801   3   0   0   1  20  92  13   0   4   0   0 100
K_Coman       30 fra  2  3  6 17 28 704 881 990  13   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Washington  21 bra  1  4  6 16 26 500 437 514  35   7   7  158   0   0   0   1   1   7   0   0   0   0   0 100
Antony        27 bra  1  3  5 14 26 808 744 869  33   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
