Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Robin_Risser  22 FRA 16  1  1  1 23  80 353 796 832  15   0 1407   0  70  43   0   0   0   0   0   2   0   0 100
I_Konate      27 fra  1 16  7  2 38 635  69 269 155  13   0 1191   0   0   0  15   9   2   0   0  14   0   0  60
J_Chavez      24 ecu  1 15  6  6 21 128 756 172  18  15   0 1217   0   0   0  14   8   8   0   1   2   0   0  74
Zak_Swanson   26 eng  1 15  7  5 20 634 283 252 935   4   0  376   0   0   0   6   3   4   0   1   0   0   0 100
R_Le_Guen     21 FRA  1 15  6  2 36 323 102 819 482  15   2 1120   0   0   0  11  11   4   0   0  16   0   0  78
Reo_Hillen    26 hol  1 15  5  1 38 792  30 718 862   2   0  190   0   0   0   2   3   0   0   0   0   0   0 100
J_Gradit      34 fra  1 15  5  5 18 588 145 174 965  11   5  708   1   0   0  10   3   2   0   0   2   0   0 100
R_Abascal     32 uru  1 13  6  1 38 512 594 442 983   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Sangare     24 mal  1  6 16  5 32 110 996 696 455  15   0 1299   0   0   0   6  30   8   0   1   4   0   0  60
C_Stengs      28 hol  1  2 16  7 22 797 840 195 209  11   0  975   0   0   0   2  28   7   0   1  14   0   0  94
Gabriel_Mec   18 bra  1  3 15  8 22 625  89 202 128  14   4 1018   0   0   0   4  20  10   0   0   0   0   0  76
A_Thomasson   33 fra  1  2 15  5 21  90 860 173 457  13   3  968   1   0   0   1  27   6   1   0   0   0   0  66
Alpha_Diallo  20 fra  1  2 14  5 18 120 967 609 287   8   6  340   0   0   0   0  13   2   1   0   2   0   0  94
N_Ledonne     23 ita  1  2 13  5 19 880 479 782 919   1   1   27   0   0   0   0   0   1   0   0   0   0   0 100
O_Edouard     28 fra  1  4  6 17 20 110 343 832 414  15   0 1296   0   0   0   1   4  58   4   0   2   0   0  69
Rayan_Fofana  20 fra  1  3  6 15 22 210 506 314 728  12   0  993   0   0   0   2   6  21   0   0   0   0   0  84
F_Thauvin     33 fra  1  1  5 14 32 112 211 609 687  14   9  685   0   0   0   0   3  16   0   0   0   0   0 100
Ferran_Torres 27 spa  1  1  4 15 38 993 706 445  22   3   0  248   0   0   0   0   3  11   0   0  12   0   0 100
