Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
T_Courtois    35 bel 25  1  2  1 32 999 587 166 750  15   0 1424   0 108  12   0   0   0   0   0   0   0   0 100
G_Rulli       34 arg 16  3  3  1 34   5 404 396 464   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mats_Sels     34 bel 13  1  1  1 20 714 450 450 474   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Diogo_Dalot   28 por  2 17 10  8 24 332 270 399 865  12   0 1139   0   0   0  21  18  12   2   2  10   0   0 100
Patrick_Dorgu 22 den  1 17  6  6 20 110 239 236 206  17   0 1615   1   0   0  22  13  18   1   3   2   0   0  86
W_Singo       26 ivo  1 16  8  7 29 650 584 143 393   3   0  285   0   0   0   5   2   4   1   1   0   0   0  86
J_St_Juste    30 hol  1 16  8  2 39 556 302 441 936   6   0  571   0   0   0   6   5   3   0   0   0   0   0 100
G_Inacio      25 por  1 16  8  5 34 504 130 787 762  10   7  375   0   0   0   1   1   4   0   0   0   0   0 100
L_Martinez    29 ARG  1 15  7  5 37 670 307 433 296  14   3  863   0   0   0  14   8   9   1   1   4   0   0 100
N_Mazraoui    28 mar  1 14  5  5 22 903 506 961 222   5   5  113   0   0   0   1   0   1   0   0   0   0   0 100
J_Bellingham  23 eng  1  5 25  8 29 655 709 307 569  15   0 1424   3   0   0   3  72  21   4   8   2   0   0  86
L_Di_Maggio   23 ITA  1  4 24  8 38 907 567 103 796  13   0 1231   0   0   0   3  37  17   2   3  12   0   0  86
M_Hjulmand    27 den  2  7 22  4 37 273 176  10 645  14   0 1063   0   0   0   8  24  11   0   3   6   0   0 100
K_Koindredi   25 fra  1  6 21  8 33 535  92 275  86  13   5  833   0   0   0   1  33   6   0   6   6   0   0  86
J_Maddison    30 eng  1  3 20 10 23 552  97 401 501  11   0 1044   0   0   0   1  26  27   3   2   6   0   0  86
Amad_Diallo   24 ivo  1  5 19  5 31 522 704 228 383   7   3  432   0   0   0   1  14  10   3   3   2   0   0 100
Kang_In-Lee   26 kor  1  3 13  6 27 629 100 443 508   6   6  122   0   0   0   0   3   0   0   0   0   0   0 100
A_Moleiro     24 spa  2  3 13  5 18 129 371 441 817   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kylian_Mbappe 28 fra  1  3  8 33 21 736 548 737 671  14   0 1328   5   0   0   3   3  94  15   0   4   0   0 100
Matheus_Cunha 27 bra  2  4  8 23 22   9 683 247 416  14   0 1240   5   0   0   4  13  89  22   1  22   0   2 100
S_Munoz       21 mex  1  3  5 14 24 260 548 925 492   6   0  570   0   0   0   2   7  17   0   2   0   0   0  93
