Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Salko_Hamzic  20 AUT 24  1  1  1 24 857 366 565 565  12   0 1140   2 105  15   0   0   0   0   0   0   0   0 100
M_Vandevoordt 24 bel 16  1  1  1 20 608 210 210 210   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Bignetti    21 aut 14  1  1  1 18 770 200 200 200   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Schlager    30 aut 13  1  1  1 22 346 246 757 697   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Amar_Dadic    23 bos  1 16  6  6 20 140 492 402 101  12   0 1140   0   0   0  23   6  10   0   0   2   0   0  54
R_Kristensen  29 den  1 16  6  5 21 260 529 588 816  12   0 1117   0   0   0  12   5   2   0   0   6   0   0  56
Frans_Kratzig 23 ger  1 15  6  6 18 150 125 425  91   5   0  384   1   0   0   6   1   4   1   0   0   0   0  93
Zak_Sturge    22 ENG  1 15  6  4 20 245 248  35 418   8   8  177   0   0   0   1   0   0   0   0   0   0   0 100
A_Balde       23 spa  1 13  6  6 21 350  30  30 430   4   1  264   0   0   0   3   1   0   0   0   0   0   0 100
Renato_Veiga  23 por  1 13  5  5 21 222 785 676 262   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nonato        28 bra  1  6 19  8 28 460  89  49 160   3   0  284   0   0   0   0   2   5   1   0   0   0   0 100
D_Zakaria     30 swi  1  6 19  4 39 856 204 798  97  15   0 1332   0   0   0   2  38   2   0   3   0   0   0  68
Oliver_Lukic  20 cro  1  5 17  5 20 352 174 324 211   8   0  650   0   0   0   2  15   2   0   1   2   0   0  93
C_Baumgartner 26 aut  1  2 16  5 20 110 310 749 804   5   1   34   0   0   0   0   7   4   0   0   0   0   0 100
Lorran        21 bra  1  2 15  7 18 495 593 427 604   4   0  229   0   0   0   1   9   2   0   0   0   0   0 100
V_Sulzbacher  21 aut  1  5 15  5 30 150 842 954 413  10   0  950   0   0   0   2  15   8   0   1   2   0   0  84
Desire_Doue   21 fra  1  2  6 18 18 400 166 717 840   9   0  853   0   0   0   0   3  23   3   0   0   0   0  62
Romulo        23 bra  1  3  5 16 32 331 680 334 874   3   0    0   0   0   0   0   1   5   2   0   0   0   0 100
N_Trifunovic  22 ser  1  1  4 15 16 337 679 877 646   4   0  386   1   0   0   0   3  18   4   1   0   0   0  94

