Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Matej_Kovar   27 cze 27  1  1  1 28  33 850 729 783  10   0  985   0  62   8   0   0   0   0   0   0   0   0 100
A_Fernandez   29 spa 24  2  2  2 22 761 189 550 415   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Flores      23 spa 12  2  2  2 24 570 349 358 283   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Orjan_Nyland  36 nor 10  2  2  2 20 708 475 305 230   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joakim_Maehle 27 den  1 17  6  5 30 780 593 682 293  10   0  560   0   0   0  12   5   4   0   1   0   0   0 100
J_Ryerson     27 nor  1 17  6  5 30 780 631 680 243   9   2  797   0   0   0  16   6   2   0   0   0   0   0 100
Kike_Salas    25 spa  1 16  7  3 40 991 637 925 666   7   1  650   0   0   0  10   6   1   0   0   4   0   0 100
T_Nianzou     25 fra  1 15  7  3 36 862 756 355  69   6   0  604   0   0   0  10   3   2   0   0   0   0   0 100
V_Barco       23 arg  1 15  8  5 21 862 317 107 530   8   3  626   0   0   0   6   8   7   1   1   0   0   0 100
O_Kossounou   26 ivo  1 15  7  5 27 717 426 169 269   8   3  618   0   0   0  12   9   7   0   1   0   0   0 100
Loic_Bade     27 spa  2 13  6  2 38  33 464 699 927   1   0   98   0   0   0   4   0   1   1   0   0   0   0 100
Alan_Varela   25 arg  2  7 21  4 36 126 889 201 671   7   0  665   0   0   0   1  29   5   0   3   0   0   0 100
J_Frimpong    26 hol  1  5 20  8 22 717 101 240 105   6   2  479   0   0   0   1  17   7   0   2   0   0   0 100
Unai_Gomez    21 esp  1  5 18  7 27 110 355 355 355   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Amrabat     31 mor  1  7 18  4 36 821 321 122 818   7   1  615   1   0   0   1  16   7   1   1   4   0   0 100
Diego_Rosa    23 bra  1  7 17  4 36 490 678 587 322   7   1  512   1   0   0   1  14   5   0   0  12   0   0 100
M_Camara      27 mak  1  6 17  4 34 749 455 812 266   7   2  531   0   0   0   1   9   4   0   1   2   0   0 100
I_Bennacer    29 alg  1  7 15  3 36 858 636 880 629   5   0  449   0   0   0   1   5   4   0   1   0   0   0 100
N_Barella     30 ita  2  6 15  7 31 330   7 734 158   5   1  428   0   0   0   2  11   8   0   1   2   0   0 100
Lucien_Agoume 25 fra  2  4 15  5 20 184 279 153 959   3   0  290   0   0   0   0   6   1   1   0   0   0   0 100
Saul_Niguez   32 spa  2  5 11  6 32 246 237 734  60   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_van_Duiven  22 hol  1  3  7 21 21 896 971 234 112   9   0  752   1   0   0   0   0  45   6   0   0   0   0 100
G_Scamacca    28 ita  1  5  6 19 21 695 367 503 911   7   2  562   2   0   0   0   1  38   4   0   0   0   0 100
G_Prestianni  21 arg  1  4  5 19 22 807 323 648 643   6   1  487   1   0   0   2   3  22   3   0   0   0   0 100
Ivan_Jaime    26 spa  2  2  7 14 16 195 883  36 385   2   1  108   0   0   0   0   0   7   0   0   0   0   0 100
